device,mem,mem_type,mem_bw,num_sm,double,single,half,l1,l2
P100,16,HBM2,732,56,4.7,9.3,18.7,1344,4
P4000,8,GDDR5,243,14,0.1656,5.3,,672,2
RTX2070,8,GDDR6,448,36,0.20304,6.49728,12.9945,2304,4
RTX2080Ti,11,GDDR6,616,68,0.3672,11.7504,23.5008,4352,5.5
T4,16,GDDR6,320,40,,8.1,,2560,4
V100,16,HBM2,900,80,,14.028,,10240,6
A100,40,HBM2,1555,108,9.5,19.0,300.0,20736,40
RTX3090,24,GDDR6X,936.2,82,556.0,35.58,35.58,10496,6
A40,48,GDDR6,614.9,84,1.168,37.4,299.4,10752,6
A4000,16,GDDR6,378.1,48,0.599,19.17,19.17,6144,4
RTX4000,8,GDDR6,364.1,36,0.2225,7.119,7.119,2304,4
L4,24,GDDR6,300,60,0.473,30.29,30.29,7680,48
